Посольства и консульства;Таджикистан;г. Москва;Консульский отдел Посольства Республики Таджикистана в Москве;г. Москва, Скатертный пер. 19;55.75622;37.593224;" 8(495) 690-57-36
 8(495) 690-52-81
 8(985) 740-02-12";"Пн-Пт с 9:00 до 17:00 обед с 12:30 до 13:30
Визовые вопросы- Пн, Чт, Пт с 9:00 до 17:00 обед с 12:30 до 13:30"
Посольства и консульства;Таджикистан;г. Санкт Петербург  ;Генеральное консульство Республики Таджикистан в г. Санкт Петербург  ;г. Санкт-Петербург,Тамбовская улица, д.10, литер А;59.90689399999999;30.3494639;" 8(812) 490-47-46
 8(967) 349-29-44";"Пн-Пт с 9:00 до 17:00 обед с 12:30 до 13:30
Визовые вопросы- Пн, Чт, Пт с 9:00 до 17:00 обед с 12:30 до 13:30"
Посольства и консульства;Таджикистан;г.Уфа;Генеральное консульство Республики Таджикистан в г.Уфа; г. Уфа, ул. Цурюпы 149;54.7428371;55.9606126; 8(347) 276-52-96;"Пн-Пт с 9:00 до 17:00 обед с 12:30 до 13:30
Визовые вопросы- Пн, Чт, Пт с 9:00 до 17:00 обед с 12:30 до 13:30"
Посольства и консульства;Таджикистан;г.Екатеринбург;Генеральное консульство Республики Таджикистан в г.Екатеринбург;"г.Екатеринбург, ул.Гражданская д. 2, литер ""А""";56.8529674;60.58357239999999; 8(343) 370-23-60;"Пн-Пт с 9:00 до 17:00 обед с 12:30 до 13:30
Визовые вопросы- Пн, Чт, Пт с 9:00 до 17:00 обед с 12:30 до 13:30"
Посольства и консульства;Таджикистан;г.Новосибирск;Генеральное консульство Республики Таджикистан в г.Новосибирск;г.Новосибирск, ул.Дзержинский д.20;55.0528245;82.9699041; 8(383) 349-59-70;"Пн-Пт с 9:00 до 17:00 обед с 12:30 до 13:30
Визовые вопросы- Пн, Чт, Пт с 9:00 до 17:00 обед с 12:30 до 13:30"
Посольства и консульства;Узбекистан;г. Москва;Посольство Республики Узбекистан в РФ;г. Москва, Погорельский переулок, д.12;55.73256199999999;37.621016;" 8(499) 230-00-78
 8(499) 230-00-76";"Запись на очередь  производиться по новому электронному адресу: e-navbat.mfa.uz
Пн, Ср, Пт с 10:00 до 17:00
Выходные дни: Сб, Вс, также Консульский отдел не принимает посетителей в дни официальных праздников Республики Узбекистан"
Посольства и консульства;Узбекистан;г. Москва;Консульский отдел Посольства Республики Узбекистан в Москве;г. Москва, 2-й Казачий переулок, д.2;55.7346576;37.6206516;"Оформление сертификата:
 8(499) 230-00-32
 8(499) 230-07-15
 Визовые вопросы:
8(499) 230-00-54
Оформление биометрического паспорта и консульского учёта:
8(499) 230-13-01
8(499) 238-36-20";"Запись на очередь  производиться по новому электронному адресу: e-navbat.mfa.uz
Пн, Ср, Пт с 10:00 до 17:00
Выходные дни: Сб, Вс, также Консульский отдел не принимает посетителей в дни официальных праздников Республики Узбекистан"
Посольства и консульства;Узбекистан;г.Новосибирск;Генеральное консульство Республики Узбекистан в г.Новосибирске;г.Новосибирск, ул. Ломоносова д.55Б;55.0393285;82.9365825;" 8(383) 246-04-85
 8(383) 246-04-84";"Запись на очередь  производиться по новому электронному адресу: e-navbat.mfa.uz
Пн, Ср, Пт с 10:00 до 17:00
Выходные дни: Сб, Вс, также Консульский отдел не принимает посетителей в дни официальных праздников Республики Узбекистан"
Миграционный центр;все;г. Москва;Многофункциональный миграционный центр Сахарово;г. Москва, п. Вороновское, Варшавское шоссе, 64-й километр, домовладение 1, стр. 47.;55.2900857;37.1875487; 8(495) 777-77-77;с 8:00 до 20:00 без выходных и праздничных дней
Миграционный центр;все;Московская область;Центральный аппарат ФГУП «ПВС» МВД России;" Московская область, Красногорский район, п\о Путилково, 69 км МКАД, ООК ЗАО ""Гринвуд"" стр. 34";55.87149849999999;37.4089247; 8(495) 645-69-80;"Пн-Чт с 9:00 до 18:00
Пт с 9:00 до 16:45
обед с 13:00 до 13:45
Выходной: Сб, Вс"
